isin,ticker,name,exchange,description
IE00BF2FNG46,TRE3.L,"Invesco US Treasury Bond 1-3 Year UCITS ETF",London Stock Exchange,"NA"
IE00BF2FNL98,T3GB.L,"Invesco US Treasury Bond 1-3 Year UCITS ETF GBP Hdg Dist",LSE,"The investment objective of the Fund is to achieve the performance of the Bloomberg Barclays US Treasury 1-3 Year Index (the ""Reference Index"") less fees, expenses and transaction costs."
IE00BF2FNQ44,TRD7.DE,"Invesco US Treasury Bond 3-7 Year UCITS ETF",Deutsche Börse,"The investment objective of the Fund is to achieve the performance of the Bloomberg Barclays US Treasury 3-7 Year Index (the Reference Index) less fees, expenses and transaction costs"
IE00BF2FPB31,T7EU.DE,"Invesco US Treasury Bond 3-7 Year UCITS ETF",Deutsche Börse,"NA"
IE00BF2GC043,TR7S.L,"Invesco US Treasury Bond 3-7 Year UCITS ETF",LSE,"The investment objective of the Fund is to achieve the performance of the Bloomberg Barclays US Treasury 3-7 Year Index (the Reference Index) less fees, expenses and transaction costs"
IE00BF2GFH28,TRDS.DE,"Invesco US Treasury Bond UCITS ETF USD Dist",Deutsche Börse,"NA"
IE00BF2GFK56,TRFE.DE,"Invesco US Treasury Bond UCITS ETF",XETRA,"NA"
IE00BF2GFM70,TRGB.L,"Invesco US Treasury Bond UCITS ETF",LSE,"The investment objective of the Fund is to achieve the performance of the Bloomberg Barclays US Treasury Index (the Reference Index) less fees, expenses and transaction costs."
IE00BF3N7102,IHYE.L,"iShares $ High Yield Corp Bond UCITS ETF",LSE,"NA"
IE00BF3N7219,WNGE.L,"iShares Fallen Angels High Yield Corp Bond UCITS ETF",London Stock Exchange,"NA"
IE00BF51K025,PUIG.DE,"Invesco USD Corporate Bond ESG UCITS ETF",Deutsche Börse,"NA"
IE00BF51K132,PEMD.L,"Invesco Emerging Markets USD Bond UCITS ETF",London Stock Exchange,"NA"
IE00BF51K249,PSFE.DE,"Invesco Euro IG Corporate Bond ESG UCITS ETF",Deutsche Börse,"The Invesco EUR IG Corporate Bond ESG UCITS ETF Dist aims to track the total return performance of the Bloomberg MSCI Euro Liquid Corporate ESG Weighted Bond Index, less fees. The Fund is passively managed. The investment concerns the acquisition of units in a fund and not in a given underlying asset."
IE00BF540Z61,GFGB.L,"VanEck Global Fallen Angel High Yield Bond UCITS ETF",London Stock Exchange,"NA"
IE00BF541080,HYEM.L,"VanEck Emerging Markets High Yield Bond UCITS ETF",London Stock Exchange,"NA"
IE00BF59RW70,J15R.L,"JPMorgan ETFs (Ireland) ICAV - EUR Corporate Bond 1-5 yr Research Enhanced Index (ESG) UCITS ETF",LSE,"NA"
IE00BF59RX87,JREB.DE,"JPMorgan ETFs (Ireland) ICAV - EUR Corporate Bond Research Enhanced Index (ESG) UCITS ETF",Deutsche Börse,"NA"
IE00BF7MPP31,0P0001BLQG.F,"Vanguard Global Credit Bond Fund Institutional EUR Hedged Accumulation",Frankfurt Stock Exchange,"This Fund seeks to provide a moderate and sustainable level of current income by investing in a diversified portfolio of global credit fixed income bonds."
IE00BF8HV600,STHE.L,"PIMCO Short-Term High Yield Corporate Bond Index Source UCITS ETF",London Stock Exchange,"The investment objective of the Fund is to seek to provide a return that closely corresponds, before fees and expenses, to the total return of the Index."
IE00BF8HV717,COVR.DE,"PIMCO ETFs plc PIMCO Covered Bond UCITS ETF",Deutsche Börse,"NA"
IE00BF8J5974,XYLD.DE,"Xtrackers ESG USD Corporate Bond Short Duration UCITS ETF",Deutsche Börse,"NA"
IE00BFM6TC58,DTLA.L,"iShares $ Treasury Bond 20+yr UCITS ETF",London Stock Exchange,"NA"
IE00BFM6TD65,EMCA.L,"iShares V PLC - iShares J.P. Morgan $ EM Corp Bond UCITS ETF",LSE,"NA"
IE00BFMKQ930,XYLE.DE,"Xtrackers ESG USD Corporate Bond Short Duration UCITS ETF",XETRA,"NA"
IE00BFMM8Y81,SPEH.L,"iShares V PLC - iShares Spain Govt Bond UCITS ETF EUR (Dist)",London Stock Exchange,"NA"
IE00BFNNN236,WTEB.DE,"WisdomTree AT1 CoCo Bond UCITS ETF - EUR Hedged",XETRA,"The Fund seeks to track the price and yield performance, beforefees and expenses of the iBoxx Contingent Convertible LiquidDeveloped Europe AT1 Index (the “Index”)."
IE00BFNNN459,COGO.L,"WisdomTree AT1 CoCo Bond UCITS ETF",London Stock Exchange,"NA"
IE00BFRTD722,0P00011WUG.L,"Vanguard Euro Government Bond Index Fund GBP Hedged Acc",London Stock Exchange,"The fund seeks to provide returns consistent with the performance of the Barclay Capital Global Aggregate Euro Government Bond index (the “Index”) which is a market- weighted bond index of the euro-denominated government fixed-income securities."
IE00BFRTD946,0P00011WUE.L,"Vanguard Japan Government Bond Index Fund GBP Hedged Acc",London Stock Exchange,"The Fund seeks to provide returns consistent with the performance of the Barclay Capital Global Aggregate Japan Government Bond Index (the “Index”), a market-weighted index of investment-grade fixed income securities issued by the Japanese government or government-related agencies."
IE00BFWFPY67,SPFA.DE,"SPDR Bloomberg Emerging Markets Local Bond USD Base CCY Hdg to EUR UCITS ETF Acc",XETRA,"The objective of the Fund is to track the performance of investible local currency emerging markets bonds."
IE00BFWXDX52,FLUC.L,"Franklin Liberty USD Investment Grade Corporate Bond UCITS ETF",London Stock Exchange,"NA"
IE00BFXYHY63,OM3M.DE,"iShares VII PLC - iShares VII PLC - iShares $ Treasury Bond 3-7yr UCITS ETF",Deutsche Börse,"NA"
IE00BFZPF322,AT1P.L,"Invesco Markets II Plc - Invesco AT 1 Capital Bond UCITS ETF",London Stock Exchange,"The Fund is a passively managed Exchange-Traded Fund (ETF), which aims to track the Total Return performance of the iBoxx USD Contingent Convertible Liquid Developed Market AT1 (8/5% Issuer Cap) Index (the Index)1, less fees, expenses and transaction costs."
IE00BFZPF546,EMGA.L,"iShares J.P. Morgan EM Local Govt Bond UCITS ETF",LSE,"NA"
IE00BG0J4957,HYUS.SW,"iShares Broad $ High Yield Corp Bond UCITS ETF",Swiss Exchange,
IE00BG0TQB18,AT1D.L,"Invesco AT1 Capital Bond ETF",London Stock Exchange,"NA"
IE00BG47K971,VAGS.L,"Vanguard Funds Public Limited Company - Vanguard Global Aggregate Bond UCITS ETF",LSE,"This Fund seeks to track the performance of the Index. In seeking to achieve its investment objective, the Fund aims to provide a return (comprising both income and capital appreciation) which, before application of fees and expenses, is similar to the return of the Index. The Fund employs a “passive management” – or indexing – investment approach, through physical acquisition of securities, designed to track the performance of the Index. The Index is a widely recognised benchmark designed to reflect the characteristics of the total global aggregated bond universe of investment grade, government, government-related agencies, corporate and securitised fixed income investments with maturities greater than one year."
IE00BG47KB92,VAGE.DE,"Vanguard Global Aggregate Bond UCITS ETF",Deutsche Börse,"NA"
IE00BG47KH54,VAGF.DE,"Vanguard Global Aggregate Bond UCITS ETF",Deutsche Börse,"NA"
IE00BG47KJ78,VAGU.L,"Vanguard Funds Public Limited Company - Vanguard Global Aggregate Bond UCITS ETF",LSE,"NA"
IE00BG5QQ390,IU0E.DE,"iShares $ Corp Bond 0-3yr ESG UCITS ETF",Deutsche Börse,"NA"
IE00BGCSB447,ERNA.L,"iShares $ Ultrashort Bond UCITS ETF",London Stock Exchange,"NA"
IE00BGCZ0719,0P00012I68.F,"Vanguard Eurozone Inflation-Linked Bond Index Fund Institutional Plus EUR Acc",Frankfurt Stock Exchange,
IE00BGCZ0B53,0P00012I6E.F,"Vanguard Global Bond Index Fund Institutional Plus EUR Hedged Acc",Frankfurt Stock Exchange,"The fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate Float Adjusted Bond Index (the “Index”) by primarily investing in other funds of the Company (the “Underlying Funds”). It will primarily invest directly in the underlying bonds which the various Underlying Funds hold although the Fund will retain the ability to invest up to 10% of its net assets in collective investment schemes."
IE00BGCZ0C60,0P0001481C.SW,"Vanguard Global Bond Index Fund Institutional Plus CHF Hedged Acc",Swiss Exchange,"The fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate Float Adjusted Bond Index (the “Index”) by primarily investing in other funds of the Company (the “Underlying Funds”). It will primarily invest directly in the underlying bonds which the various Underlying Funds hold although the Fund will retain the ability to invest up to 10% of its net assets in collective investment schemes."
IE00BGJWWT11,EIB7.DE,"Invesco Euro Government Bond 5-7 Year UCITS ETF",Deutsche Börse,"The objective of the Fund is to aim to track the Total Return performance of the Bloomberg Euro Government Select 5-7 Year Index (the Index), less fees, expenses and transaction costs."
IE00BGPP6580,IGTM.L,"iShares $ Treasury Bond 7-10yr UCITS ETF USD (Dist)",London Stock Exchange,"NA"
IE00BGR7L912,IBCC.DE,"iShares $ Treasury Bond 0-1yr UCITS ETF USD (Dist)",Deutsche Börse,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the ICE U.S. Treasury Short Bond Index."
IE00BGSF1X88,IB01.L,"iShares $ Treasury Bond 0-1yr UCITS ETF USD (Acc)",London Stock Exchange,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the ICE U.S. Treasury Short Bond Index."
IE00BGYWFK87,VUCE.DE,"Vanguard USD Corporate Bond UCITS ETF",XETRA,"NA"
IE00BGYWFL94,VDCE.DE,"Vanguard USD Corporate Bond UCITS ETF",Deutsche Börse,"The Fund employs a passive management  or indexing  investment approach, through physical acquisition of securities, and seeks to track the performance of the Bloomberg Barclays Global Aggregate Corporate  United States Dollar Index (the Index)"
IE0008U15456,IEGS.MI,"iShares Core EUR Government Bond UCITS ETF EUR (Acc)","NA"
IE00BGYWFS63,VUTA.L,"Vanguard USD Treasury Bond UCITS ETF",London Stock Exchange,"NA"
IE00BGYWSV06,VSCA.L,"Vanguard USD Corporate 1-3 Year Bond UCITS ETF USD Accumulation",London Stock Exchange,"This Fund seeks to track the performance of the Index. In seeking to achieve its investment objective, the Fund aims to provide a return (comprising both income and capital appreciation) which, before application of fees and expenses, is similar to the return of the Index. The Fund employs a “passive management” – or indexing – investment approach, through physical acquisition of securities, designed to track the performance of the Index."
IE00BGYWT403,VECA.L,"Vanguard EUR Corporate Bond UCITS ETF",LSE,"NA"
IE00BH04GL39,VETA.L,"Vanguard EUR Eurozone Government Bond UCITS ETF",London Stock Exchange,"NA"
IE00BH65QG55,0P00011WUA.L,"Vanguard Global Short-Term Bond Index Fund GBP Hedged Acc",London Stock Exchange,"The Fund seeks to provide returns consistent with the performance of the Index"
IE00BH65QK91,0P00012NJA.F,"Vanguard Global Short-Term Bond Index Fund Investor EUR Hedged Accumulation",Frankfurt Stock Exchange,"The Fund seeks to provide returns consistent with the performance of the Index"
IE00BJ06C481,PUIP.L,"Invesco USD Corporate Bond ESG UCITS ETF",London Stock Exchange,"NA"
IE00BJ06C937,JMBA.DE,"JPMorgan ETFs (Ireland) ICAV - USD Emerging Markets Sovereign Bond UCITS ETF",Deutsche Börse,"NA"
IE00BJDQNK87,0P0001J1WL.F,"Vanguard Japan Government Bond Index Fund Institutional Plus EUR Hedged Acc",XETRA,"The Fund seeks to provide returns consistent with the performance of the Barclay Capital Global Aggregate Japan Government Bond Index (the “Index”), a market-weighted index of investment-grade fixed income securities issued by the Japanese government or government-related agencies."
IE00BJFN5P63,USFR.L,"WisdomTree USD Floating Rate Treasury Bond UCITS ETF",London Stock Exchange,"NA"
IE00BJJPVP04,CBUG.L,"iShares VII PLC - iShares VII PLC - iShares $ Treasury Bond 3-7yr UCITS ETF",LSE,"NA"
IE00BJJYYX67,TFRN.L,"WisdomTree USD Floating Rate Treasury Bond UCITS ETF",London Stock Exchange,"NA"
IE00BJK3WF00,BBLL.DE,"JPM BetaBuilders US Treasury Bond 0-1 yr UCITS ETF",Deutsche Börse,"NA"
IE00BJK55B31,DHYA.L,"iShares $ High Yield Corp Bond ESG UCITS ETF USD (Acc)",London Stock Exchange,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays MSCI US Corporate High Yield Sustainable BB+ SRI Bond Index."
IE00BJP26F04,UESD.L,"iShares £ Ultrashort Bond ESG UCITS ETF",London Stock Exchange,"NA"
IE00BJSBCS90,GASF.DE,"Goldman Sachs Access China Government Bond UCITS ETF",XETRA,"NA"
IE00BJSFQW37,36B7.DE,"iShares Global Corp Bond UCITS ETF",Deutsche Börse,"NA"
IE00BJSFR200,HYLE.DE,"iShares Global High Yield Corp Bond UCITS ETF",Deutsche Börse,"NA"
IE00BK7Y2R57,IDTC.SW,"iShares $ Treasury Bond 7-10yr UCITS ETF USD (Dist)",Swiss Exchange,"The investment objective of this Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the ICE U.S. Treasury 7-10 Year Bond Index."
IE00BK95B138,SNA2.DE,"iShares $ Treasury Bond UCITS ETF",XETRA,"NA"
IE00BKC94M46,SPFV.DE,"SPDR Bloomberg Global Aggregate Bond USD Hdg UCITS ETF Acc",XETRA,"NA"
IE00BKKCKJ46,JGHY.DE,"JPMorgan ETFs (Ireland) ICAV Global High Yield Corporate Bond Multi-Factor UCITS ETF",XETRA,"NA"
IE00BKLWXV65,0P0001M7M3.F,"Vanguard Emerging Markets Bond Fund Institutional Plus EUR Hedged Accumulation",Frankfurt Stock Exchange,"The Fund seeks to provide total return over the performance of the Index that measures the investment return of U.S. dollar-denominated bonds issued by governments and government-related issuers in emerging market countries while generating a moderate level of current income."
IE00BKP5L730,SLMG.DE,"iShares J.P. Morgan ESG $ EM Bond UCITS ETF",Deutsche Börse,"The investment objective of this Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the J.P. Morgan EMBI Global Core Index."
IE00BKS2X200,FGOV.L,"First Trust Low Duration Global Government Bond UCITS ETF",London Stock Exchange,"NA"
IE00BKT1CS59,SNAZ.DE,"iShares V PLC - iShares J.P. Morgan $ EM Corp Bond UCITS ETF",Deutsche Börse,"The Share Class is a share class of a Fund, which aims to achieve a return on your investment, through a combination of capital growth and income on the Funds  assets, which reflects the return of the J.P. Morgan CEMBI Broad Diversified Core Index, the Funds benchmark index (Index)"
IE00BKV0QF55,JHYP.L,"JPMorgan ETFs (Ireland) ICAV Global High Yield Corporate Bond Multi-Factor UCITS ETF",London Stock Exchange,"NA"
IE00BKW9SW28,IGCB.L,"Invesco Markets II Plc - Invesco Gbp Corporate Bond Ucits ETF",London Stock Exchange,"NA"
IE00BKWD3C98,TRD1.DE,"Invesco US Treasury Bond 0-1 Year UCITS ETF USD Dist",Deutsche Börse,"The investment objective of the Fund is to achieve the total return performance of the Bloomberg Barclays US Treasury Coupons Index (the ""Reference Index"") less fees, expenses and transaction costs."
IE00BKWD3D06,T1AP.L,"Invesco US Treasury Bond 0-1 Year UCITS ETF",London Stock Exchange,"NA"
IE00BKWD3F20,TIGB.L,"Invesco US Treasury Bond 0-1 Year UCITS ETF",London Stock Exchange,"NA"
IE00BLCGR455,EMAG.L,"L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF",London Stock Exchange,"NA"
IE00BLDGH447,SECD.DE,"iShares € Govt Bond Climate UCITS ETF EUR (Dist)",XETRA,"The Fund seeks to track the performance of a climate risk-adjusted index offering exposure to Eurozone, investment grade government bonds."
IE00BLPJRG31,0P0001LJIZ.F,"Vanguard U.K. Government Bond Index Fund EUR Hedged Acc",XETRA,"The fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate U.K. Government Bond Index, a market-weighted index of the U.K. Government fixed-income securities denominated in Pound Sterling. The fund employs a ""passive management"" or indexing strategy designed to track the performance of the Index, which is a subset of the Barclays Capital Global Aggregate Bond Index. This market-weighted Index is designed to reflect the total universe of pound sterling-denominated United Kingdom treasury and government-related securities with maturities greater than one year."
IE00BLRPPV00,VDST.L,"Vanguard U.S. Treasury 0-1 Year Bond UCITS ETF USD Accumulating",London Stock Exchange,"NA"
IE00BLRPQP15,EMDG.L,"L&G ESG Emerging Markets Government Bond (USD) 0-5 Year UCITS ETF",London Stock Exchange,"NA"
IE00BLRPRD67,USDC.L,"L&G ESG USD Corporate Bond UCITS ETF",LSE,"NA"
IE00BLRPRF81,EMUS.L,"L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF",London Stock Exchange,"The investment objective of L&G ESG Emerging Markets Corporate Bond (USD) UCITS ETF (the “Fund”) is to provide exposure to the US Dollar-denominated corporate bond market across emerging markets."
IE00BM97MR69,XT01.L,"Xtrackers US Treasuries Ultrashort Bond UCITS ETF",LSE,"NA"
IE00BM9GRM34,FSMG.L,"Fidelity Sustainable Global Corporate Bond Multifactor UCITS ETF",London Stock Exchange,"NA"
IE00BM9GRQ71,FEMP.L,"Fidelity Sustainable USD EM Bond UCITS ETF",London Stock Exchange,"NA"
IE00BMDBML89,GILG.L,"iShares III Public Limited Company - iShares Global Inflation Linked Government Bond UCITS ETF",LSE,"NA"
IE00BMDBMM96,IGLC.SW,"iShares Global Govt Bond UCITS ETF",Swiss Exchange,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the FTSE Group-of-Seven (G7) Government Bond Index."
IE00BMDBMP28,SUOC.SW,"iShares € Corp Bond ESG UCITS ETF",SIX,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital  and income returns, which reflects the return of the Bloomberg Barclays MSCI Euro Corporate Sustainable SRI  Index"
IE00BMH5T376,IU0C.SW,"iShares $ Corp Bond 0-3yr ESG UCITS ETF",Swiss Exchange,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg MSCI US Corporate 0-3 Sustainable SRI Index."
IE00BMV3LS66,IE0C.SW,"iShares € Corp Bond 0-3yr ESG UCITS ETF",SIX,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI Index."
IE00BMWPV694,DHYC.SW,"iShares $ High Yield Corp Bond ESG UCITS ETF",Swiss Exchange,"The investment objective of the Fund is to seek to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays MSCI US Corporate High Yield Sustainable BB+ SRI Bond Index."
IE00BMX0B631,VDTE.DE,"Vanguard USD Treasury Bond UCITS ETF",Deutsche Börse,"This Fund seeks to track the performance of the Index"
IE00BMZ17Y47,CYGB.L,"iShares China CNY Bond UCITS ETF",London Stock Exchange,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital  and income returns, which reflects the return of the Bloomberg Barclays China Treasury + Policy Bank Index"
IE00BN6QDG94,0P0001LJIS.SW,"Vanguard Global Bond Index Fund CHF Hedged Distribution",SIX,"The fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate Float Adjusted Bond Index (the “Index”) by primarily investing in other funds of the Company (the “Underlying Funds”). It will primarily invest directly in the underlying bonds which the various Underlying Funds hold although the Fund will retain the ability to invest up to 10% of its net assets in collective investment schemes."
IE00BN6QDH02,0P0001LJIT.F,"Vanguard Global Bond Index Fund EUR Hedged Distribution",Frankfurt Stock Exchange,"The fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate Float Adjusted Bond Index (the “Index”) by primarily investing in other funds of the Company (the “Underlying Funds”). It will primarily invest directly in the underlying bonds which the various Underlying Funds hold although the Fund will retain the ability to invest up to 10% of its net assets in collective investment schemes."
IE00BNG70R26,MUNS.L,"Invesco Markets II Plc - Invesco Us Municipal Bond Fund Ucits ETF",LSE,"The Fund is a passively-managed Exchange-Traded Fund (ETF), which aims achieve the total return performance of the ICE BofA US Taxable Municipal Securities Plus Index (the Index) 1, less fees, expenses and transaction costs"
IE00BNH72088,GLCB.L,"SPDR Refinitiv Global Convertible Bond UCITS ETF",London Stock Exchange,"The objective of the Fund is to track the performance of the global convertible bond market."
IE00BNNLXF63,0P0001M7M2.SW,"Vanguard Emerging Markets Bond Fund Institutional Plus CHF Hedged Accumulation",Swiss Exchange,
IE00BP46NG52,EMH5.L,"SPDR ICE BofA 0-5 Year EM USD Government Bond UCITS ETF",LSE,"NA"
IE00BP9F2J32,LDCE.DE,"PIMCo Low Duration Euro Corporate Bond Source Ucits ETF",XETRA,"NA"
IE00BPT2BP36,0P000147LW.L,"Vanguard Global Bond Index Fund Institutional Plus GBP Hedged Dist",London Stock Exchange,"The fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate Float Adjusted Bond Index (the “Index”) by primarily investing in other funds of the Company (the “Underlying Funds”). It will primarily invest directly in the underlying bonds which the various Underlying Funds hold although the Fund will retain the ability to invest up to 10% of its net assets in collective investment schemes."
IE00BPT2BQ43,0P000147LV.L,"Vanguard Global Bond Index Fund Institutional Plus GBP Hedged Acc",London Stock Exchange,"The fund seeks to provide returns consistent with the performance of the Barclays Capital Global Aggregate Float Adjusted Bond Index (the “Index”) by primarily investing in other funds of the Company (the “Underlying Funds”). It will primarily invest directly in the underlying bonds which the various Underlying Funds hold although the Fund will retain the ability to invest up to 10% of its net assets in collective investment schemes."
IE00BPT2BS66,0P000147MC.L,"Vanguard U.K. Government Bond Index Fund Institutional Plus GBP Acc",LSE,
IE00BPT2BW03,0P000147MF.L,"Vanguard U.K. Short-Term Investment Grade Bond Index Fund Institutional Plus GBP Dist",London Stock Exchange,"The Fund seeks to provide returns consistent with the performance of the Index."
IE00BPT2BZ34,0P000147LZ.L,"Vanguard Global Short-Term Bond Index Fund Institutional Plus GBP Hedged Acc",LSE,"The Fund seeks to provide returns consistent with the performance of the Index"
IE00BS7K8821,SYB4.DE,"SPDR Bloomberg 3-5 Year Euro Government Bond UCITS ETF",Deutsche Börse,"NA"
IE00BSKRJX20,IS05.DE,"iShares € Govt Bond 20yr Target Duration UCITS ETF",Deutsche Börse,"NA"
IE00BSKRK281,IS06.DE,"iShares € Corp Bond BBB-BB UCITS ETF EUR (Dist)",Deutsche Börse,"NA"
IE00BYM31M36,WING.L,"iShares Fallen Angels High Yield Corp Bond UCITS ETF",London Stock Exchange,"NA"
IE00BYSX5D68,0P0001BDXH.F,"Vanguard SRI Euro Investment Grade Bond Index Fund EUR Acc",Frankfurt Stock Exchange,
IE00BYSZ5R67,TRS5.L,"SPDR Bloomberg 3-7 Year U.S. Treasury Bond UCITS ETF",London Stock Exchange,"NA"
IE00BYSZ5T81,SPP7.DE,"SPDR Bloomberg 7-10 Year U.S. Treasury Bond UCITS ETF",Deutsche Börse,"NA"
IE00BYSZ5V04,LUTR.L,"SPDR Bloomberg 10+ Year U.S. Treasury Bond UCITS ETF",London Stock Exchange,"NA"
IE00BYSZ6062,SYBV.DE,"SPDR Bloomberg 10+ Year Euro Government Bond UCITS ETF",XETRA,"NA"
IE00BYV12Y75,SYBR.DE,"SPDR Bloomberg 1-10 Year U.S. Corporate Bond UCITS ETF",Deutsche Börse,"NA"
IE00BYXPSP02,IBTA.L,"iShares $ Treasury Bond 1-3yr UCITS ETF",London Stock Exchange,"The investment objective of this Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the ICE U.S. Treasury 1-3 Year Bond Index."
IE00BYXYYK40,JPEA.L,"iShares J.P. Morgan $ EM Bond UCITS ETF",LSE,"NA"
IE00BYZ28V50,IGLA.L,"iShares Global Govt Bond UCITS ETF",London Stock Exchange,"NA"
IE00BYZLWM19,AT1S.L,"Invesco AT1 Capital Bond ETF",London Stock Exchange,"NA"
IE00BYZTVV78,QDVL.DE,"iShares € Corp Bond 0-3yr ESG UCITS ETF",Deutsche Börse,"NA"
IE00BZ036H21,XDGU.L,"Xtrackers (IE) Plc - Xtrackers USD Corporate Bond UCITS ETF 1D",London Stock Exchange,"The aim is for the investment to reflect the performance of the Bloomberg Barclays USD Liquid Investment Grade Corporate Index (Index). The Index is designed to reflect the performance of fixed-interest tradable debt (bonds) which are investments that pay out a fixed level of income or interest. The bonds are issued by financial, utility or industrial US and non-US companies that meet specific maturity, credit rating and liquidity requirements. The bonds must be rated as “investment grade”."
IE00BZ036J45,XDGE.DE,"Xtrackers (IE) Plc - Xtrackers USD Corporate Bond UCITS ETF 2D - EUR Hedged",Deutsche Börse,"The aim is for the investment to reflect the performance of the Bloomberg Barclays USD Liquid Investment Grade Corporate Index (Index). The Index is designed to reflect the performance of fixed-interest tradable debt (bonds) which are investments that pay out a fixed level of income or interest. The bonds are issued by financial, utility or industrial US and non-US companies that meet specific maturity, credit rating and liquidity requirements. The bonds must be rated as “investment grade”."
IE00BZ043R46,AGGU.L,"iShares Core Global Aggregate Bond UCITS ETF",London Stock Exchange,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays Global Aggregate Bond Index."
IE00BZ048462,FLOT.L,"iShares $ Floating Rate Bond UCITS ETF",London Stock Exchange,"NA"
IE00BZ0G8860,SYBN.DE,"SPDR Bloomberg 10+ Year U.S. Corporate Bond UCITS ETF",Deutsche Börse,"The objective of the Fund is to track the performance of the long maturity,  fixed-rate, investment-grade U.S. Dollar-denominated corporate bond  market."
IE00BZ163G84,VECP.DE,"Vanguard EUR Corporate Bond UCITS ETF",Deutsche Börse,"NA"
IE00BZ163H91,VGEB.DE,"Vanguard EUR Eurozone Government Bond UCITS ETF",Deutsche Börse,"NA"
IE00BZ163K21,VDCP.L,"Vanguard Funds Public Limited Company - Vanguard USD Corporate Bond UCITS ETF",London Stock Exchange,"NA"
IE00BZ163L38,VGEM.DE,"Vanguard USD Emerging Markets Government Bond UCITS ETF",Deutsche Börse,"NA"
IE00BZ163M45,VGTY.DE,"Vanguard USD Treasury Bond UCITS ETF",Deutsche Börse,"NA"
IE00BZ173W74,HLQD.L,"iShares $ Corp Bond Interest Rate Hedged UCITS ETF",LSE,"NA"
LU0290356954,DBXQ.DE,"Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 1C",XETRA,"The aim is for your investment to reflect the performance of the Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5 Index (the ""Reference Index""). The Reference Index reflects the performance of tradable debt (bonds) denominated in Euro or pre-Euro currencies and issued by governments of five Eurozone countries (France, Germany, Italy, Netherlands and Spain) that have a remaining time to maturity of at least 3 years and up to 5 years.To achieve the aim, the Sub-Fund will attempt to replicate the Reference Index by buying a substantial number of the constituents of the Reference Index in a similar proportion as the Reference Index as determined by the Investment Manager and Sub-Portfolio Manager."
LU0290358224,XEIN.DE,"Xtrackers II Eurozone Inflation-Linked Bond UCITS ETF",XETRA,"The aim is for your investment to reflect the performance of the Bloomberg Barclays World Government Inflation-Linked Bond Index (the Reference Index). The Reference Index aims to reflect the total return performance of the investment grade, government inflationlinked bonds from certain developed market countries."
LU0468896575,D5BB.DE,"Xtrackers II Germany Government Bond UCITS ETF 1D",Deutsche Börse,"NA"
LU0468897110,D5BC.DE,"Xtrackers II Germany Government Bond 1-3 UCITS ETF",Deutsche Börse,"The aim is for your investment to reflect the performance of the IBOXX  Germany 1-3  index (the Reference Index)"
LU0478205379,D5BG.DE,"Xtrackers II EUR Corporate Bond UCITS ETF",Deutsche Börse,"The fund is passively managed. The aim is for your investment to reflect the performance of the Bloomberg Barclays Euro Corporate Bond Index (index)."
LU0484969463,XBAT.DE,"Xtrackers II Eurozone AAA Government Bond Swap UCITS ETF",Deutsche Börse,"NA"
LU0494592974,XCS2.DE,"Xtrackers II Australia Government Bond UCITS ETF",Deutsche Börse,"NA"
LU0524480265,XY4P.DE,"Xtrackers II iBoxx Eurozone Government Bond Yield Plus UCITS ETF",XETRA,"NA"
LU0613540268,XBO2.DE,"Xtrackers II Italy Government Bond 0-1 Swap UCITS ETF",Deutsche Börse,"NA"
LU0641006290,XGSG.L,"Xtrackers II Global Government Bond UCITS ETF",LSE,"NA"
